title,datetime,location_name,address,description,category,source_url,source_site
"Thanksgiving Grand Buffet at Hilton Mystic, Mystic, Connecticut",2025-11-27T12:00,Hilton Mystic,"20 Coogan Boulevard, Stonington, CT 06355","Thanksgiving Grand Buffet, Hilton Mystic, November 27, 2025. Five Seatings Starting at 12 p.m. Advanced Reservations Required.",Seasonal & Holiday,https://www.eventbrite.com/e/thanksgiving-grand-buffet-at-hilton-mystic-mystic-connecticut-tickets-1758403234409,Eventbrite
Love Language (Stamford R&B Exclusive Event),2025-11-22T22:00,Tequila Escape -Stamford,"845 Canal Street, Stamford, CT 06902",There's no night out better than R&B Night! Sing your heart out to your favorite R&B hits at our 6th consecutive month selling out Stamford.,Music,https://www.eventbrite.com/e/love-language-stamford-rb-exclusive-event-tickets-1660786560309,Eventbrite
Jingle Bars Pub Crawl and Tasting,2025-12-03T17:00,Kerri Art Studio and Gallery ,"861 Main Street, Windham, CT 06226","Fa La La down Main Street, Willimantic on December 3, 2025. Tour participating pub and grub venues for a pour and a taste of holiday cheer!",Food & Drink,https://www.eventbrite.com/e/jingle-bars-pub-crawl-and-tasting-tickets-1918232106869,Eventbrite
Flights of Fancy: Holiday Edition,2025-11-20T16:30,Jack's Bar And Steakhouse,"212 College Street, New Haven, CT 06510","Downtown New Haven's premier shopping, wine and food crawl is back to kick off the holiday season! Flights of Fancy is November 20th!",Food & Drink,https://www.eventbrite.com/e/flights-of-fancy-holiday-edition-tickets-1865643603239,Eventbrite
The Aimee Mann & Ted Leo Christmas Show,2025-12-04T20:00,District Music Hall,"71 Wall Street, Norwalk, CT 06850","featuring Paul F. Tompkins, Nellie McKay & Josh Gondelman",Music,https://www.eventbrite.com/e/the-aimee-mann-ted-leo-christmas-show-tickets-1664558111119,Eventbrite
Denim Day Party,2025-11-15T15:00,Club Vandome,"102 Hamilton Street, New Haven, CT 06511",Get ready to rock your favorite denim outfit or denim with any color and dance the day away at our Denim Day Party! At Club Vandome.,Music,https://www.eventbrite.com/e/denim-day-party-tickets-1528672934899,Eventbrite
92nd Connecticut Section PGA Annual Fall Meeting,2025-11-24T08:30,Mohegan Sun,"1 Mohegan Sun Boulevard, Montville, CT 06382",92nd Connecticut Section PGA Annual Fall Meeting,Sports & Fitness,https://www.eventbrite.com/e/92nd-connecticut-section-pga-annual-fall-meeting-tickets-1825078401629,Eventbrite
Stamford Kappa League Induction Ceremony - 2025 (ETA Class),2025-11-22T11:00,Margaret Morton Government Center,"999 Broad Street, Bridgeport, CT 06604",A legacy of leadership continues! Join us Nov 22 for the Stamford Kappa League Induction Ceremony. #Stamford #FutureLeaders,Community & Culture,https://www.eventbrite.com/e/stamford-kappa-league-induction-ceremony-2025-eta-class-tickets-1816415159639,Eventbrite
UMPS Holiday Boutique,2025-11-13T17:00,United Methodist Preschool,"165 South Avenue, New Canaan, CT 06840","Get ready to kick off the holiday season with UMPS Holiday Boutique, your one-stop shop for unique gifts and festive finds!",Seasonal & Holiday,https://www.eventbrite.com/e/umps-holiday-boutique-tickets-1785585256569,Eventbrite
Boots & Bling Scholarship Fundraiser,2025-11-16T15:00,21 Concord St,"21 Concord Street, Norwalk, CT 06854","Come and saddle up with the Zetas at our Scholarship Fundraiser - a night of fun, fashion, and fundraising!",Charity & Causes,https://www.eventbrite.com/e/boots-bling-scholarship-fundraiser-tickets-1835714444319,Eventbrite
"OutPro LGBTQ Professional Networking Social - Stamford, CT",2025-11-19T17:30,Bar Rosso,"28 Spring Street, Stamford, CT 06901",Meet and connect with LGBTQ professionals and allies in Connecticut. Community has never been more critical. We are better together.,Community & Culture,https://www.eventbrite.com/e/outpro-lgbtq-professional-networking-social-stamford-ct-tickets-1715287644519,Eventbrite
Dave Hause,2025-11-20T20:00,Space Ballroom,"295 Treadwell Street, Hamden, CT 06514",with Joe Gittleman,Music,https://www.eventbrite.com/e/dave-hause-tickets-1496799871709,Eventbrite
Wellness Night 2025,2025-11-13T18:00,Cafe Aura,"45 East Center Street, Manchester, CT 06040","Wellness Night 2025: Dinner, speakers & inspiration for mind, body & spirit. 100% proceeds to Breast Friends Fund.",Health & Wellness,https://www.eventbrite.com/e/wellness-night-2025-tickets-1770191262719,Eventbrite
SLUTTY COLLEGE PJ MAYHEM,2025-11-21T20:00,3155 Main St,"3155 Main Street, Hartford, CT 06120",Get ready to party in your comfiest PJs and let loose at SLUTTY COLLEGE PJ MAYHEM – it's going down!,Other,https://www.eventbrite.com/e/slutty-college-pj-mayhem-tickets-1949625374979,Eventbrite
Arts Cafe Mystic Fall Series November 21,2025-11-21T18:30,"La Grua Center, Water Street, Stonington, CT, USA","32 Water Street, Stonington, CT 06378","An evening of Poetry and Music, headlined by our perennial favorite Wally Lamb, NEA Grant, NY Times bestseller for 2025",Performing & Visual Arts,https://www.eventbrite.com/e/arts-cafe-mystic-fall-series-november-21-tickets-1583019145879,Eventbrite
19th Annual All Black Affair,2025-11-29T15:00,Terminal 110,"240 Sargent Drive, New Haven, CT 06511","Join the New Haven Alumni Chapter of Phi Beta Sigma Fraternity, Inc. and SOEDI Inc. for our Annual Fundraiser!",Charity & Causes,https://www.eventbrite.com/e/19th-annual-all-black-affair-tickets-1689796931109,Eventbrite
Litchfield Performing Arts & Milton Music Present The Conn Artists,2025-11-23T16:00,Milton Congregational Church,"548 Milton Road, Litchfield, CT 06759","Join us for a special performance featuring The Conn Artists, a 6-man a cappella ensemble!",Performing & Visual Arts,https://www.eventbrite.com/e/litchfield-performing-arts-milton-music-present-the-conn-artists-tickets-1739629622029,Eventbrite
Latke Vodka 100 - CT's Hottest Young Jewish Adult Party (ages 21 to 39),2025-12-06T19:00,Tumble Brook Country Club,"376 Simsbury Road, Bloomfield, CT 06002",Get ready for the largest Urban Dor event yet!,Community & Culture,https://www.eventbrite.com/e/latke-vodka-100-cts-hottest-young-jewish-adult-party-ages-21-to-39-tickets-1716002292049,Eventbrite
The Disco Biscuits Fall Tour 2025,2025-12-27T20:00,College Street Music Hall,"238 College Street, New Haven, CT 06510",‎,Music,https://www.eventbrite.com/e/the-disco-biscuits-fall-tour-2025-tickets-1550024738719,Eventbrite
Natyamandala Charity Classical Indian Dance Showcase at Yale,2025-11-15T18:00,Harkness Auditorium,"333 Cedar Street, New Haven, CT 06510",Come witness the beauty and grace of classical Indian dance presented Natyamandala a Yale dance organization partnering with the community!,Performing & Visual Arts,https://www.eventbrite.com/e/natyamandala-charity-classical-indian-dance-showcase-at-yale-tickets-1755103434619,Eventbrite
Fairfield Center Stage presents  ANNIE -- Sat Nov 15 @ 5pm,2025-11-15T17:00,First Church Congregational,"148 Beach Road, Fairfield, CT 06824","Local community theater group Fairfield Center Stage presents the  classic musical ANNIE, featuring a cast of adults & children, Nov 14-30",Performing & Visual Arts,https://www.eventbrite.com/e/fairfield-center-stage-presents-annie-sat-nov-15-5pm-tickets-1738318981869,Eventbrite
Rocky Hill High School 50th Class Reunion,2025-11-29T18:00,Cafe Fiore Cromwell,"134 Berlin Road, Cromwell, CT 06416",Come celebrate 50 years since graduating from Rocky Hill High School at our in-person reunion!,School Activities,https://www.eventbrite.com/e/rocky-hill-high-school-50th-class-reunion-tickets-1419485211479,Eventbrite
2025 Sustainability Holiday Pop Up Shop: Vendor Registration by Nov. 14,2025-12-02T16:00,HAYVN,"320 Boston Post Road #Suite 180, Darien, CT 06820",Showcase your brand & products at HAYVN's 2025 Sustainability Holiday Pop Up Shop in partnership with Best of CT Moms Women’s Clothing Sale!,Seasonal & Holiday,https://www.eventbrite.com/e/2025-sustainability-holiday-pop-up-shop-vendor-registration-by-nov-14-tickets-1657745464309,Eventbrite
Spark Social Ct presents “Ignite the Night “ Launch Party!,2025-11-18T19:00,Gabriele's of Westport,"27 Powers Court, Westport, CT 06880","Join us for a night of vibes, beats, and good times at Spark Social Ct's “Ignite the Night”Your hosts Lisa & Joli",Food & Drink,https://www.eventbrite.com/e/spark-social-ct-presents-ignite-the-night-launch-party-tickets-1854621636239,Eventbrite
"Hon. Kevin Rudd, Australia's Ambassador & 26th Prime Minister | GSF2025",2025-11-18T17:30,The Mark Twain House & Museum,"351 Farmington Avenue, Hartford, CT 06105",Australia's Ambassador to the US and 26th Prime Minister Hon. Kevin Rudd joins us in conversation at the 2025 Global Security Forum Series.,Government & Politics,https://www.eventbrite.com/e/hon-kevin-rudd-australias-ambassador-26th-prime-minister-gsf2025-tickets-1767024179889,Eventbrite
Sinful Sundaze,2025-11-23T20:00,321 Sports and Bar,"3155 Main Street, Hartford, CT 06120",EVERY GYAL AH WILD OUT THIS WILL BE RAJAH WILDS FIRST TIME IN CT,Music,https://www.eventbrite.com/e/sinful-sundaze-tickets-1942309633399,Eventbrite
Dana Drzavnosti BiH i bratimljenje opcina Wethersfield-Stari Grad Sarajevo,2025-11-16T16:00,Saint Clements Castle & Marina,"1931 Portland-Cobalt Road, Portland, CT 06480","Gosti: Irfan Cengic, Nacelnik Opcine Stari Grad Sarajevo i Zeljko Komsic, Predsjedavajuci Predsjednistva Bosne i Hercegovine",Community & Culture,https://www.eventbrite.com/e/dana-drzavnosti-bih-i-bratimljenje-opcina-wethersfield-stari-grad-sarajevo-tickets-1964348895425,Eventbrite
Unidentified Anomalous Phenomena: Transparency Legislation to Space Tech,2025-11-20T17:30,Yale Science Building,"260 Whitney Avenue, New Haven, CT 06511",The Disclosure Foundation is a nonpartisan nonprofit organization dedicated to promoting government transparency on UAP.,Science & Technology,https://www.eventbrite.com/e/unidentified-anomalous-phenomena-transparency-legislation-to-space-tech-tickets-1835328229139,Eventbrite
